Penulisan Asli;ID Aturan + Tahun (Baku);ID Aturan (Baku);ID Tipe;Instansi Penerbit;Nomor;Tahun;Judul;Tanggal Ditetapkan;Tanggal Berlaku;Tempat Terbit;Status Sekarang
PER-1/PB/2026;2026|PER-1-PB-2026;PER-1-PB-2026;T-06;DJPb;1;2026;Tata Cara Penyelesaian Retur Surat Perintah Pencairan Dana kepada Rekening Penerima dalam Valuta Asing Melalui Bank Koresponden;21/01/2026;21/01/2026;Jakarta;Berlaku
PER-2/PB/2026;2026|PER-2-PB-2026;PER-2-PB-2026;T-06;DJPb;2;2026;Tata Cara Pembagian atas Penerimaan Negara Bukan Pajak Pembayaran yang Berasal dari Denda Tindak Pidana Pelanggaran Lalu Lintas dan Angkutan Jalan;22/01/2026;22/01/2026;Jakarta;Berlaku
PER-3/PB/2026;2026|PER-3-PB-2026;PER-3-PB-2026;T-06;DJPb;3;2026;Manajemen Talenta di Lingkungan Direktorat Jenderal Perbendaharaan;30/03/2026;30/03/2026;Jakarta;Berlaku
PER-4/PB/2026;2026|PER-4-PB-2026;PER-4-PB-2026;T-06;DJPb;4;2026;Petunjuk Teknis Penyalutran Transfer ke Daerah pada Dirkeotorat Jenderal Perbenfa;12/05/2026;12/05/2026;Jakarta;Berlaku
PER-1/PB/2025;2025|PER-1-PB-2025;PER-1-PB-2025;T-06;DJPb;1;2025;Petunjuk Teknis Penghapusan Piutang Kredit Program Macet;01/01/2025;01/01/2025;Jakarta;Berlaku
PER-2/PB/2025;2025|PER-2-PB-2025;PER-2-PB-2025;T-06;DJPb;2;2025;Perubahan atas Peraturan Direktur Jenderal Perbendaharaan Nomor PER-3/PB/2023 tentang Penetapan Zona Tarif Layanan Badan Layanan Umum Rumah Sakit Tingkat;01/01/2025;01/01/2025;Jakarta;Berlaku
PER-3/PB/2025;2025|PER-3-PB-2025;PER-3-PB-2025;T-06;DJPb;3;2025;Petunjuk Teknis Pelaksanaan Pembayaran Belanja Operasional Dengan Mekanisme Pagu Terpusat Dalam Rangka Pelaksanaan Anggaran Pendapatan Dan Belanja Negara melalui Platform Pembayaran Pemerintah;14/01/2025;14/01/2025;Jakarta;Berlaku
PER-4/PB/2025;2025|PER-4-PB-2025;PER-4-PB-2025;T-06;DJPb;4;2025;Penetapan Zona Tarif Layanan Badan Layanan Umum Perguruan Tinggi Keagamaan Negeri pada Kementerian Agama;17/02/2025;17/02/2025;Jakarta;Berlaku
PER-5/PB/2025;2025|PER-5-PB-2025;PER-5-PB-2025;T-06;DJPb;5;2025;Penetapan Zona Tarif Layanan Badan Layanan Umum Bidang Pengamanan Alat dan Fasilitas Kesehatan pada Kementerian Kesehatan;24/02/2025;24/02/2025;Jakarta;Berlaku
PER-6/PB/2025;2025|PER-6-PB-2025;PER-6-PB-2025;T-06;DJPb;6;2025;Pedoman Penyusunan Kontrak Kinerja dan Penetapan Persetujuan Capaian Kinerja Pemimpin Badan Layanan Umum;18/02/2025;18/02/2025;Jakarta;Berlaku
PER-7/PB/2025;2025|PER-7-PB-2025;PER-7-PB-2025;T-06;DJPb;7;2025;Penetapan Zona Tarif Layanan Badan Layanan Umum Bidang Pendidikan dan Pelatihan Sumber Daya Manusia Perhubungan pada Kementerian Perhubungan;10/04/2025;10/04/2025;Jakarta;Berlaku
PER-8/PB/2025;2025|PER-8-PB-2025;PER-8-PB-2025;T-06;DJPb;8;2025;Tata Cara Pembayaran Tagihan Pengadaan Barang Jasa Pemerintah pada Katalog Elektronik atas Beban Anggaran Pendapatan dan Belanja Negara;28/05/2025;28/05/2025;Jakarta;Berlaku
PER-9/PB/2025;2025|PER-9-PB-2025;PER-9-PB-2025;T-06;DJPb;9;2025;Penetapan Zona Tarif Layanan Badan Layanan Umum Unit Penyelenggara Bandar Udara pada Kementerian Perhubungan;11/06/2025;11/06/2025;Jakarta;Berlaku
PER-10/PB/2025;2025|PER-10-PB-2025;PER-10-PB-2025;T-06;DJPb;10;2025;Penetapan Zona Tarif Layanan Badan Layanan Umum Perguruan Tinggi Negeri pada Kementerian Pendidikan Tinggi Sains dan Teknologi;10/07/2025;10/07/2025;Jakarta;Berlaku
PER-11/PB/2025;2025|PER-11-PB-2025;PER-11-PB-2025;T-06;DJPb;11;2025;Tata Cara Penilaian Penetapan dan Pencabutan Penerapan Pola Pengelolaan Keuangan Badan Layanan Umum;15/07/2025;15/07/2025;Jakarta;Berlaku
