ID Sumber (Yang Aksi);ID Relasi;ID Target (Yang Dikenai)
2026|PER-1-PB-2026;R-01;2013|PP-45-2013
2026|PER-1-PB-2026;R-01;2016|PMK-262-2016
2026|PER-1-PB-2026;R-01;2017|PMK-188-2017
2026|PER-1-PB-2026;R-01;2023|PMK-62-2023
2026|PER-1-PB-2026;R-01;2024|PMK-124-2024
2018|PP-50-2018;R-04;2013|PP-45-2013
2022|PMK-158-2022;R-04;2017|PMK-188-2017
2024|PMK-107-2024;R-04;2023|PMK-62-2023
2025|PMK-117-2025;R-04;2024|PMK-124-2024
2026|PER-2-PB-2026;R-01;2024|PMK-100-2024
2026|PER-2-PB-2026;R-01;2024|PMK-124-2024
2026|PER-3-PB-2026;R-01;2018|PMK-191-2018
2026|PER-3-PB-2026;R-01;2018|PMK-216-2018
2026|PER-3-PB-2026;R-01;2020|PMK-146-2020
2026|PER-3-PB-2026;R-01;2020|PMK-224-2020
2026|PER-3-PB-2026;R-01;2023|PMK-123-2023
2026|PER-3-PB-2026;R-01;2024|PMK-124-2024
2026|PER-3-PB-2026;R-01;2025|PMK-38-2025
2026|PER-3-PB-2026;R-01;2025|PMK-191-2025
2026|PER-3-PB-2026;R-02;2017|PER-1-PB-2017
2026|PER-4-PB-2026;R-01;2010|PMK-250-2010
2026|PER-4-PB-2026;R-01;2014|PMK-154-2014
2026|PER-4-PB-2026;R-01;2016|PMK-262-2016
2026|PER-4-PB-2026;R-01;2020|PMK-182-2020
2026|PER-4-PB-2026;R-01;2020|PMK-171-2020
2026|PER-4-PB-2026;R-01;2012|PMK-229-2012
2026|PER-4-PB-2026;R-01;2023|PMK-62-2023
2026|PER-4-PB-2026;R-01;2023|PMK-155-2023
2026|PER-4-PB-2026;R-01;2023|PMK-163-2023
2026|PER-4-PB-2026;R-01;2024|PMK-14-2024
2026|PER-4-PB-2026;R-01;2024|PMK-25-2024
2026|PER-4-PB-2026;R-01;2024|PMK-33-2024
2026|PER-4-PB-2026;R-01;2024|PMK-67-2024
2026|PER-4-PB-2026;R-01;2024|PMK-91-2024
2026|PER-4-PB-2026;R-01;2024|PMK-124-2024
2026|PER-4-PB-2026;R-01;2025|PMK-119-2025
2026|PER-4-PB-2026;R-01;2026|PMK-7-2026
2026|PER-4-PB-2026;R-01;2013|PER-58-PB-2013
2026|PER-4-PB-2026;R-01;2014|PER-41-PB-2014
2026|PER-4-PB-2026;R-01;2015|PER-5-PB-2015
2026|PER-4-PB-2026;R-01;2018|PER-9-PB-2018
2023|PMK-158-2023;R-04;2020|PMK-171-2020
2025|PMK-88-2025;R-04;2023|PMK-163-2023
2026|PER-4-PB-2026;R-02;2018|PER-34-PB-2018
2026|PER-4-PB-2026;R-02;2020|PER-7-PB-2020
2026|PER-4-PB-2026;R-02;2021|PER-3-PB-2021
2025|PER-1-PB-2025;R-01;2024|PP-47-2024
2025|PER-1-PB-2025;R-01;2021|PMK-118-2021
2023|PMK-135-2023;R-04;2021|PMK-118-2021
2025|PER-2-PB-2025;R-01;2005|PP-23-2005
2025|PER-2-PB-2025;R-01;2020|PMK-129-2020
2025|PER-2-PB-2025;R-01;2023|PMK-31-2023
2025|PER-2-PB-2025;R-01;2023|PER-3-PB-2023
2012|PP-74-2012;R-04;2005|PP-23-2005
2022|PMK-202-2022;R-04;2020|PMK-129-2020
2025|PER-2-PB-2025;R-04;2023|PER-3-PB-2023
2025|PER-3-PB-2025;R-01;2013|PP-45-2013
2025|PER-3-PB-2025;R-01;2022|PMK-182-2022
2025|PER-3-PB-2025;R-01;2023|PMK-62-2023
2025|PER-4-PB-2025;R-01;2005|PP-23-2005
2025|PER-4-PB-2025;R-01;2020|PMK-129-2020
2025|PER-4-PB-2025;R-01;2024|PMK-126-2024
2025|PER-5-PB-2025;R-01;2005|PP-23-2005
2025|PER-5-PB-2025;R-01;2020|PMK-129-2020
2025|PER-5-PB-2025;R-01;2024|PMK-76-2024
2025|PER-6-PB-2025;R-01;2005|PP-23-2005
2025|PER-6-PB-2025;R-01;2020|PMK-129-2020
2025|PER-6-PB-2025;R-02;2017|PER-5-PB-2017
2025|PER-6-PB-2025;R-02;2015|KEP-348-PB-2015
2025|PER-6-PB-2025;R-02;2016|KEP-356-PB-2016
2025|PER-7-PB-2025;R-01;2005|PP-23-2005
2025|PER-7-PB-2025;R-01;2020|PMK-129-2020
2025|PER-7-PB-2025;R-01;2025|PMK-22-2025
2025|PER-8-PB-2025;R-01;2018|PERPRES-16-2018
2025|PER-8-PB-2025;R-01;2023|PERPRES-17-2023
2025|PER-8-PB-2025;R-01;2013|PMK-162-2013
2025|PER-8-PB-2025;R-01;2017|PMK-145-2017
